abn,remuneration_quartile,reporting_period,avg_total_remuneration
99804549321,Lower middle quartile,2024 - 25,"85,000.00"
99804549321,Upper quartile,2023 - 24,"111,000.00"
99804549321,Upper middle quartile,2023 - 24,"94,000.00"
99804549321,Total workforce,2023 - 24,"92,000.00"
99804549321,Lower quartile,2023 - 24,"79,000.00"
99702283122,Lower middle quartile,2024 - 25,"45,000.00"
99676832382,Lower middle quartile,2024 - 25,"63,000.00"
99676832382,Upper quartile,2023 - 24,"101,000.00"
99676832382,Upper middle quartile,2024 - 25,"68,000.00"
99676832382,Total workforce,2023 - 24,"74,000.00"
99676832382,Lower quartile,2023 - 24,"57,000.00"
99676323934,Lower middle quartile,2024 - 25,"90,000.00"
99669896244,Lower middle quartile,2024 - 25,"89,000.00"
99657548712,Lower middle quartile,2024 - 25,"145,000.00"
99654240445,Upper quartile,2023 - 24,"98,000.00"
99654240445,Upper middle quartile,2023 - 24,"84,000.00"
99654240445,Total workforce,2023 - 24,"82,000.00"
99654240445,Lower quartile,2023 - 24,"70,000.00"
99654240445,Lower middle quartile,2023 - 24,"76,000.00"
99653119469,Lower middle quartile,2024 - 25,"71,000.00"
99653119469,Upper quartile,2023 - 24,"115,000.00"
99653119469,Upper middle quartile,2023 - 24,"83,000.00"
99653119469,Total workforce,2023 - 24,"81,000.00"
99653119469,Lower quartile,2023 - 24,"57,000.00"
99649451374,Lower middle quartile,2024 - 25,"73,000.00"
99644545193,Lower middle quartile,2024 - 25,"92,000.00"
99644545193,Upper quartile,2023 - 24,"187,000.00"
99644545193,Upper middle quartile,2024 - 25,"116,000.00"
99644545193,Total workforce,2023 - 24,"113,000.00"
99644545193,Lower quartile,2023 - 24,"69,000.00"
99643633943,Lower middle quartile,2024 - 25,"61,000.00"
99643633943,Upper quartile,2023 - 24,"99,000.00"
99643633943,Upper middle quartile,2023 - 24,"81,000.00"
99643633943,Total workforce,2023 - 24,"82,000.00"
99643633943,Lower quartile,2023 - 24,"72,000.00"
99635346833,Lower middle quartile,2024 - 25,"81,000.00"
99635346833,Upper middle quartile,2024 - 25,"107,000.00"
99630152206,Upper quartile,2023 - 24,"181,000.00"
99630152206,Upper middle quartile,2023 - 24,"150,000.00"
99630152206,Total workforce,2023 - 24,"136,000.00"
99630152206,Lower quartile,2023 - 24,"88,000.00"
99630152206,Lower middle quartile,2023 - 24,"125,000.00"
99621855025,Lower middle quartile,2024 - 25,"173,000.00"
99621855025,Upper quartile,2023 - 24,"201,000.00"
99621855025,Upper middle quartile,2023 - 24,"158,000.00"
99621855025,Total workforce,2023 - 24,"155,000.00"
99621855025,Lower quartile,2023 - 24,"120,000.00"
99618397658,Lower middle quartile,2024 - 25,"127,000.00"
99618397658,Upper quartile,2023 - 24,"241,000.00"
99618397658,Upper middle quartile,2023 - 24,"152,000.00"
99618397658,Total workforce,2023 - 24,"148,000.00"
99618397658,Lower quartile,2023 - 24,"83,000.00"
99612044283,Lower middle quartile,2024 - 25,"225,000.00"
99612044283,Upper quartile,2023 - 24,"466,000.00"
99612044283,Upper middle quartile,2023 - 24,"284,000.00"
99612044283,Total workforce,2023 - 24,"273,000.00"
99612044283,Lower quartile,2023 - 24,"140,000.00"
99611782739,Lower quartile,2024 - 25,"124,000.00"
99611782739,Lower middle quartile,2024 - 25,"161,000.00"
99611782739,Upper quartile,2023 - 24,"198,000.00"
99611782739,Upper middle quartile,2023 - 24,"154,000.00"
99611782739,Total workforce,2023 - 24,"148,000.00"
99611437668,Upper quartile,2023 - 24,"311,000.00"
99611437668,Upper middle quartile,2023 - 24,"156,000.00"
99611437668,Total workforce,2023 - 24,"170,000.00"
99611437668,Lower quartile,2023 - 24,"94,000.00"
99611437668,Lower middle quartile,2023 - 24,"118,000.00"
99608916981,Lower middle quartile,2024 - 25,"97,000.00"
99608916981,Upper quartile,2023 - 24,"217,000.00"
99608916981,Upper middle quartile,2023 - 24,"128,000.00"
99608916981,Total workforce,2023 - 24,"126,000.00"
99608916981,Lower quartile,2023 - 24,"70,000.00"
99589872974,Upper quartile,2023 - 24,"238,000.00"
99589872974,Upper middle quartile,2023 - 24,"123,000.00"
99589872974,Total workforce,2023 - 24,"134,000.00"
99589872974,Lower quartile,2023 - 24,"80,000.00"
99589872974,Lower middle quartile,2023 - 24,"100,000.00"
99572820584,Lower middle quartile,2024 - 25,"104,000.00"
99572820584,Upper quartile,2023 - 24,"136,000.00"
99572820584,Upper middle quartile,2024 - 25,"116,000.00"
99572820584,Total workforce,2023 - 24,"106,000.00"
99572820584,Lower quartile,2023 - 24,"82,000.00"
99470863260,Lower middle quartile,2024 - 25,"127,000.00"
99437071895,Lower middle quartile,2024 - 25,"85,000.00"
99437071895,Upper quartile,2023 - 24,"127,000.00"
99437071895,Upper middle quartile,2023 - 24,"89,000.00"
99437071895,Total workforce,2023 - 24,"90,000.00"
99437071895,Lower quartile,2023 - 24,"66,000.00"
99425365630,Lower quartile,2024 - 25,"96,000.00"
99425365630,Lower middle quartile,2024 - 25,"101,000.00"
99425365630,Upper quartile,2023 - 24,"113,000.00"
99425365630,Upper middle quartile,2023 - 24,"79,000.00"
99425365630,Total workforce,2023 - 24,"85,000.00"
99367793956,Lower middle quartile,2024 - 25,"102,000.00"
99367793956,Upper quartile,2023 - 24,"183,000.00"
99367793956,Upper middle quartile,2024 - 25,"129,000.00"
99367793956,Total workforce,2023 - 24,"121,000.00"
99367793956,Lower quartile,2023 - 24,"74,000.00"
99269630262,Lower middle quartile,2024 - 25,"87,000.00"
99269630262,Upper quartile,2023 - 24,"141,000.00"
99269630262,Upper middle quartile,2024 - 25,"114,000.00"
99269630262,Total workforce,2023 - 24,"101,000.00"
99269630262,Lower quartile,2023 - 24,"70,000.00"
99268572029,Lower middle quartile,2024 - 25,"97,000.00"
99268572029,Upper quartile,2023 - 24,"158,000.00"
99268572029,Upper middle quartile,2024 - 25,"126,000.00"
